Player,Team,Date,Type,Note
Dion Waiters\waitedi01,Miami Heat,Fri Dec 22 2017,Ankle,Waiters had season-ending surgery to repair instability in his left ankle and a pre-existing navicular bone fracture.
Hassan Whiteside\whiteha01,Miami Heat,Sun Mar 11 2018,Hip,Whiteside has sat out the past four games with a hip injury and will not return to action Wednesday against the Knicks.
Malcolm Brogdon\brogdma01,Milwaukee Bucks,Thu Feb 1 2018,Quadricep,Brogdon has a partially torn left quadriceps tendon and is expected to need six-to-eight weeks to recover.
Matthew Dellavedova\dellama01,Milwaukee Bucks,Sun Feb 4 2018,Ankle,Dellavedova is sidelined with a sprained right ankle and there is no timetable for recovery.
Tyler Zeller\zellety01,Milwaukee Bucks,Sat Mar 17 2018,Back,Zeller has sat out the last two games with a back injury and it is unknown if he will play against the Clippers on Wednesday.
Aaron Brooks\brookaa01,Minnesota Timberwolves,Thu Mar 1 2018,Personal,Brooks has been sidelined due to a personal matter and it is uncertain when he will return.
Jimmy Butler\butleji01,Minnesota Timberwolves,Fri Feb 23 2018,Knee,Butler had surgery to repair a right meniscus injury and will be sidelined four-to-six weeks as a result.
Derrick Rose\rosede01,Minnesota Timberwolves,Tue Mar 20 2018,Ankle,Rose left the last game with a sprained right ankle and it is unknown if he will suit up against the Knicks on Friday.
Alexis Ajinca\ajincal01,New Orleans Pelicans,Tue Oct 17 2017,Knee,Ajinca had surgery on his right patellar tendon. He is expected to need four-to-six months to recover and will likely miss the remainder of the season.
DeMarcus Cousins\couside01,New Orleans Pelicans,Sat Jan 27 2018,Achilles,Cousins had surgery to fix a ruptured left Achilles tendon and is expected to miss the remainder of the season.
Jrue Holiday\holidjr01,New Orleans Pelicans,Tue Mar 20 2018,Illness,Holiday sat out the last game due to flu-like symptoms and his status for Wednesday's tilt against the Pacers is clouded.
Ron Baker\bakerro01,New York Knicks,Tue Jan 30 2018,Shoulder,Baker had season-ending surgery to repair a dislocated right shoulder and torn labrum.
Emmanuel Mudiay\mudiaem01,New York Knicks,Tue Mar 20 2018,Ankle,Mudiay is expected to suit up against the Heat on Wednesday despite a right ankle sprain.
Joakim Noah\noahjo01,New York Knicks,Thu Jan 25 2018,Personal,Noah and the organization have come to an agreement that he will not be involved in team activities for the remainder of the season.
Kristaps Porzingis\porzikr01,New York Knicks,Tue Feb 6 2018,Knee,Porzingis had surgery to repair a torn ACL in his left knee and has been shut down for the remainder of the season.
